active_tokens,k,trials,device,dtype,bytes_per_token,restore_bytes,active_bytes,p50_transfer_ms,p95_transfer_ms,p99_transfer_ms,p50_inject_ms,p95_inject_ms,p99_inject_ms,p50_total_ms,p95_total_ms,p99_total_ms
32768,96,80,cuda,bfloat16,57344,5505024,1879048192,0.3735140198841691,0.40052400436252356,0.429407926276326,6.374574964866042,6.410676660016179,6.437187858391553,6.747905048541725,6.806664227042347,6.844719622749835
32768,512,80,cuda,bfloat16,57344,29360128,1879048192,0.8443139959126711,0.8560144691728055,0.8575083082541823,6.453322479501367,6.576564745046198,6.611277260817587,7.286638137884438,7.388728018850088,7.431344275828451
32768,1024,80,cuda,bfloat16,57344,58720256,1879048192,1.4370151329785585,1.4540848904289305,1.4608870446681976,6.627720897085965,7.067115255631505,8.237283187918365,8.06514942087233,8.327176643069832,9.603423769585788
32768,5000,80,cuda,bfloat16,57344,286720000,1879048192,5.415064049884677,5.456622457131743,5.462044570595026,7.44564994238317,7.524815108627081,7.678939779289062,12.86365301348269,12.926829629577696,13.100291639566418
131072,96,80,cuda,bfloat16,57344,5505024,7516192768,0.40553847793489695,0.4891572054475544,0.6161424424499268,23.733327048830688,23.918880859855562,24.67082103714346,24.142807465977967,24.339556228369474,25.25245558936148
131072,512,80,cuda,bfloat16,57344,29360128,7516192768,0.7817144505679607,0.8140887133777142,0.8197479625232518,23.75117246992886,23.9351435797289,24.321068867575374,24.524573469534516,24.71810585120693,25.120474868454036
131072,1024,80,cuda,bfloat16,57344,58720256,7516192768,1.288198516704142,1.4130452182143927,1.4178665727376938,23.837232496589422,24.03638738906011,24.04411096824333,25.172890513204038,25.43169363634661,25.44673154130578
131072,5000,80,cuda,bfloat16,57344,286720000,7516192768,5.318098468706012,5.334593856241554,5.3465312835760415,24.813346099108458,24.960622587241232,25.43533812044188,30.134718399494886,30.28627490857616,30.762066240422424
524288,96,80,cuda,bfloat16,57344,5505024,30064771072,0.4241104470565915,0.4677922930568455,0.6410170020535587,102.01081703417003,102.35480184201151,104.38723164144903,102.44591836817563,102.76170205324888,105.01018897164613
524288,512,80,cuda,bfloat16,57344,29360128,30064771072,0.6730144377797842,0.7436823681928217,0.8343156520277258,102.06658847164363,102.38751709694043,103.58076454838735,102.75282186921686,103.12386428704485,104.25462938612324
524288,1024,80,cuda,bfloat16,57344,58720256,30064771072,1.2022345326840878,1.2405415182001889,1.3009606138803065,102.25850739516318,103.17316057626158,103.77825400326401,103.46046194899827,104.45901420898736,104.98072170419618
524288,5000,80,cuda,bfloat16,57344,286720000,30064771072,5.31606690492481,5.332987674046308,5.33793117152527,102.73619648069143,104.02680312981829,106.36524192057549,108.0554099753499,109.34078228892758,111.696396372281
