k,n,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
8,400,6995.431597000001,7284.5105576999995,8447.26791098,79.74449999999999,6897.65,12.491,0.450733,4.2619465000000005
16,400,6993.015639499999,7283.193747249999,8445.08737275,79.74449999999999,6897.65,10.5515,0.5113175,4.2490425
24,400,6992.6867975000005,7300.29264765,8450.226911810001,79.74449999999999,6897.65,10.2345,0.5612075000000001,4.2361195
32,400,6992.6824875,7299.078344500001,8444.972533879998,79.74449999999999,6897.65,10.1125,0.6306315,4.239286
48,400,6993.189077500001,7282.702176399998,8447.59917291,79.74449999999999,6897.65,10.052,0.8123119999999999,4.2446265
64,400,6993.4405289999995,7282.870797649999,8450.72097399,79.74449999999999,6897.65,9.994,0.917838,4.2579165
80,400,6993.9510555,7282.790718899999,8445.2973968,79.74449999999999,6897.65,9.957,0.9131825,4.262767500000001
96,400,6992.954582,7282.936622049999,8446.022170690001,79.74449999999999,6897.65,9.9345,0.964672,4.277178
128,400,6993.596283999999,7300.620570099999,8447.478910670001,79.74449999999999,6897.65,9.9195,1.175541,4.3008500000000005
