k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,idlekv_coverage,idlekv_coverage_lo,idlekv_coverage_hi,idlekv_mmr,idlekv_mmr_lo,idlekv_mmr_hi,wrong_q_k,wrong_q_k_lo,wrong_q_k_hi,stale_q_k,stale_q_k_lo,stale_q_k_hi,contrastive_q_k,contrastive_q_k_lo,contrastive_q_k_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
8,0.9791666666666666,0.5354166666666667,0.5333333333333333,0.5375,0.5333333333333333,0.5354166666666667,0.55625,0.004167,0.022917,0.033333,0.016667,17.263413,0.9666666666666667,0.9916666666666667,0.50625,0.5625520833333333,0.50625,0.5625,0.5061979166666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5020833333333333,0.5625,0.5083333333333333,0.5645833333333333,0.5270833333333333,0.5854166666666667
16,0.9791666666666666,0.5354166666666667,0.5354166666666667,0.5416666666666666,0.5354166666666667,0.5375,0.7,0.00625,0.164583,0.058333,0.033333,15.575197,0.9645833333333333,0.9916666666666667,0.50625,0.5645833333333333,0.50625,0.5625,0.5145833333333333,0.5708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041666666666667,0.5625,0.5104166666666666,0.5666666666666667,0.66875,0.725
24,0.9791666666666666,0.5354166666666667,0.5395833333333333,0.5833333333333334,0.5333333333333333,0.5354166666666667,0.7958333333333333,0.04375,0.25625,0.216667,0.041667,16.604653,0.9666666666666667,0.9895833333333334,0.50625,0.5646354166666666,0.5104166666666666,0.5666666666666667,0.5458333333333333,0.6145833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041666666666667,0.5604166666666667,0.50625,0.5625,0.76875,0.8229166666666666
32,0.9791666666666666,0.5354166666666667,0.5395833333333333,0.6125,0.5354166666666667,0.5375,0.8479166666666667,0.072917,0.308333,0.325,0.033333,15.419443,0.9666666666666667,0.9916666666666667,0.5083333333333333,0.5645833333333333,0.5104166666666666,0.56875,0.575,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5083333333333333,0.5666666666666667,0.5083333333333333,0.5645833333333333,0.8270833333333333,0.8708333333333333
48,0.9791666666666666,0.5354166666666667,0.5395833333333333,0.6708333333333333,0.5333333333333333,0.5395833333333333,0.95625,0.13125,0.416667,0.516667,0.041667,15.547093,0.9666666666666667,0.9916666666666667,0.50625,0.5645833333333333,0.5104166666666666,0.56875,0.6332812499999999,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041666666666667,0.5645833333333333,0.5125,0.5645833333333333,0.9395833333333333,0.9729166666666667
64,0.9791666666666666,0.5354166666666667,0.5416666666666666,0.7645833333333333,0.5395833333333333,0.5375,0.9875,0.222917,0.445833,0.758333,0.008333,15.655133,0.9666666666666667,0.9916666666666667,0.50625,0.5645833333333333,0.5125,0.5729166666666666,0.73125,0.7958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125,0.5667187499999999,0.5103645833333333,0.5645833333333333,0.9770833333333333,0.9958333333333333
80,0.9791666666666666,0.5354166666666667,0.5416666666666666,0.8791666666666667,0.5375,0.5375,0.9875,0.3375,0.445833,0.958333,0.0,15.74039,0.9666666666666667,0.9916666666666667,0.50625,0.5645833333333333,0.5125,0.5708333333333333,0.8583333333333333,0.9020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50625,0.5666666666666667,0.5083333333333333,0.5666666666666667,0.9770833333333333,0.9958333333333333
96,0.9791666666666666,0.5354166666666667,0.5458333333333333,0.9604166666666667,0.54375,0.5354166666666667,0.9875,0.414583,0.441667,0.983333,0.0,15.669244,0.9645833333333333,0.9916666666666667,0.50828125,0.5645833333333333,0.5166666666666667,0.575,0.94375,0.9770833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145833333333333,0.5708854166666666,0.50625,0.5645833333333333,0.9770833333333333,0.9958333333333333
128,0.9791666666666666,0.5354166666666667,0.5479166666666667,0.9833333333333333,0.5395833333333333,0.5375,0.9875,0.435417,0.439583,0.975,0.0,19.908388,0.9645833333333333,0.9916666666666667,0.50625,0.5645833333333333,0.5166145833333334,0.5791666666666667,0.9729166666666667,0.99375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104166666666666,0.56875,0.5083333333333333,0.5666666666666667,0.9770833333333333,0.9958333333333333
