k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
8,1.0,0.24333333333333335,0.24,0.24,0.245,0.23833333333333334,0.44166666666666665,0.0,0.201667,0.026667,0.026667,19.142452,1.0,1.0,0.21,0.2783333333333333,0.20833333333333334,0.2733333333333333,0.20666666666666667,0.27666666666666667,0.21166666666666667,0.28,0.20666666666666667,0.27170833333333333,0.405,0.47833333333333333
16,1.0,0.24333333333333335,0.24666666666666667,0.24666666666666667,0.24166666666666667,0.21333333333333335,0.58,0.0,0.333333,0.036667,0.033333,15.974213,1.0,1.0,0.20833333333333334,0.2783333333333333,0.21333333333333335,0.2816666666666667,0.21333333333333335,0.28,0.20995833333333333,0.275,0.18333333333333332,0.24666666666666667,0.5432916666666666,0.6183333333333333
24,1.0,0.24333333333333335,0.24666666666666667,0.29833333333333334,0.24,0.23,0.8566666666666667,0.051667,0.61,0.106667,0.026667,16.009079,1.0,1.0,0.21,0.2783333333333333,0.21333333333333335,0.2800416666666667,0.26,0.3333333333333333,0.20833333333333334,0.275,0.19833333333333333,0.2633333333333333,0.83,0.8800416666666666
32,1.0,0.24333333333333335,0.25166666666666665,0.365,0.24666666666666667,0.22333333333333333,0.8766666666666667,0.113333,0.625,0.21,0.023333,16.09408,1.0,1.0,0.21,0.27670833333333333,0.21666666666666667,0.29,0.3233333333333333,0.41,0.21329166666666668,0.2816666666666667,0.19329166666666667,0.25666666666666665,0.8516666666666667,0.9
48,1.0,0.24333333333333335,0.24333333333333335,0.535,0.24,0.225,1.0,0.291667,0.756667,0.52,0.013333,15.299085,1.0,1.0,0.21166666666666667,0.27666666666666667,0.21,0.27666666666666667,0.49,0.5750416666666666,0.20829166666666668,0.2733333333333333,0.19,0.25670833333333326,1.0,1.0
64,1.0,0.24333333333333335,0.24833333333333332,0.66,0.24166666666666667,0.22166666666666668,1.0,0.411667,0.751667,0.69,0.01,17.138009,1.0,1.0,0.20995833333333333,0.27670833333333333,0.215,0.2833333333333333,0.6216666666666667,0.7,0.20833333333333334,0.27666666666666667,0.19166666666666668,0.25833333333333336,1.0,1.0
80,1.0,0.24333333333333335,0.24,0.795,0.24833333333333332,0.21666666666666667,1.0,0.555,0.76,0.866667,0.0,16.079472,1.0,1.0,0.21,0.27666666666666667,0.20833333333333334,0.27504166666666663,0.7666666666666667,0.825,0.21495833333333333,0.2816666666666667,0.18666666666666668,0.25333333333333335,1.0,1.0
96,1.0,0.24333333333333335,0.245,0.91,0.255,0.22833333333333333,1.0,0.665,0.755,0.92,0.0,15.473926,1.0,1.0,0.20833333333333334,0.2783333333333333,0.21166666666666667,0.28,0.8883333333333333,0.9316666666666666,0.22,0.2916666666666667,0.195,0.26,1.0,1.0
128,1.0,0.24333333333333335,0.24333333333333335,0.9983333333333333,0.25333333333333335,0.22333333333333333,1.0,0.755,0.756667,0.943333,0.0,16.114228,1.0,1.0,0.21,0.2783333333333333,0.21,0.27666666666666667,0.995,1.0,0.22,0.285,0.19166666666666668,0.255,1.0,1.0
