k,n,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
8,300,6379.338021,6495.9699512,6960.998299609998,73.60600000000001,6286.485500000001,13.835,0.4743585,4.1732165000000006
16,300,6376.1118435,6489.1099933000005,6957.819826259998,73.60600000000001,6286.485500000001,10.754000000000001,0.5201235,4.051009
24,300,6376.3946305,6492.560921949999,6957.681825729998,73.60600000000001,6286.485500000001,10.479,0.570308,4.041822
32,300,6375.9830215,6492.912112949999,6957.8489121899975,73.60600000000001,6286.485500000001,10.388000000000002,0.630973,4.048045999999999
48,300,6376.0093799999995,6489.042668249999,6957.903687849998,73.60600000000001,6286.485500000001,10.3765,0.8224864999999999,4.059005
64,300,6376.7544325,6494.119335449999,6958.029447549998,73.60600000000001,6286.485500000001,10.361,0.9487915,4.076423500000001
80,300,6376.3273245,6493.0763464,6957.971442169997,73.60600000000001,6286.485500000001,10.3615,0.8698875,4.072725500000001
96,300,6376.251566499999,6489.14326115,6958.168068369999,73.60600000000001,6286.485500000001,10.365499999999999,0.9968170000000001,4.09661
128,300,6376.449278,6489.3322141,6958.276127379999,73.60600000000001,6286.485500000001,10.394,1.137832,4.128954
