artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,gold_k,idlekv_lift,gold_headroom,gold_normalized_recovery,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,8,0.993056,0.479167,0.479167,0.5625,0.479167,0.479167,0.513889,0.08333299999999999,-0.04861099999999996,2.400005760036862,A B B_match Random-K Oldest-K IdleKV Oracle-K,9175.7042275,10179.592587850002,10876.931376490003,89.43100000000001,9061.573,13.718,0.569857,7.1918555
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,16,0.993056,0.479167,0.479167,0.631944,0.479167,0.472222,0.659722,0.15277699999999994,0.02777800000000008,0.8461521420065904,A B B_match Random-K Oldest-K IdleKV Oracle-K,9170.5759955,10175.477311950002,10874.632721250004,89.43100000000001,9061.573,11.497499999999999,0.722745,7.1957385
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,24,0.993056,0.479167,0.479167,0.944444,0.479167,0.465278,0.888889,0.46527699999999994,-0.05555499999999991,1.1355919379481696,A B B_match Random-K Oldest-K IdleKV Oracle-K,9170.617565999999,10175.298055300002,10874.890327790003,89.43100000000001,9061.573,11.302,0.893498,7.197724
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,32,0.993056,0.479167,0.479167,0.993056,0.479167,0.465278,1.0,0.513889,0.00694399999999995,0.9866675114672074,A B B_match Random-K Oldest-K IdleKV Oracle-K,9170.388959,10175.91675285,10874.985430110004,89.43100000000001,9061.573,11.243500000000001,1.0055235,7.200029000000001
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,48,0.993056,0.479167,0.479167,0.993056,0.479167,0.465278,1.0,0.513889,0.00694399999999995,0.9866675114672074,A B B_match Random-K Oldest-K IdleKV Oracle-K,9170.727822500001,10178.9582391,10875.021700580004,89.43100000000001,9061.573,11.132,1.0817299999999999,7.204468
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,64,0.993056,0.479167,0.479167,1.0,0.479167,0.465278,1.0,0.520833,0.0,1.0,A B B_match Random-K Oldest-K IdleKV Oracle-K,9170.791253,10175.61372845,10875.412773430004,89.43100000000001,9061.573,11.1995,1.26881,7.227458
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,80,0.993056,0.479167,0.479167,0.993056,0.479167,0.465278,1.0,0.513889,0.00694399999999995,0.9866675114672074,A B B_match Random-K Oldest-K IdleKV Oracle-K,9170.9706875,10175.440382150002,10878.697392340004,89.43100000000001,9061.573,11.113,1.328365,7.224619
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,96,0.993056,0.479167,0.479167,0.993056,0.479167,0.465278,1.0,0.513889,0.00694399999999995,0.9866675114672074,A B B_match Random-K Oldest-K IdleKV Oracle-K,9171.013954,10175.237823200001,10877.136707810005,89.43100000000001,9061.573,11.16,1.469241,7.2226254999999995
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,128,0.993056,0.479167,0.486111,0.993056,0.479167,0.465278,1.0,0.506945,0.00694399999999995,0.9864873542730044,A B B_match Random-K Oldest-K IdleKV Oracle-K,9171.2461975,10180.386215450002,10876.205000480002,89.43100000000001,9061.573,11.051,1.7768565,7.2307369999999995
