task,k,n,condition_b_overlap,b_match_overlap,idlekv_overlap,random_k_overlap,oldest_k_overlap,oracle_k_overlap
mq_niah_4q_split_14_to_23,8,100,0.5697826086956522,0.56978266,0.5710869565217391,0.5715217391304348,0.5697826086956522,0.743695652173913
mq_niah_4q_split_14_to_23,16,100,0.5697826086956522,0.57000005,0.5745652173913044,0.5697826086956522,0.5697826086956522,0.9167391304347826
mq_niah_4q_split_14_to_23,24,100,0.5697826086956522,0.5702174499999999,0.6160869565217392,0.5697826086956522,0.5697826086956522,0.9995652173913043
mq_niah_4q_split_14_to_23,32,100,0.5697826086956522,0.57065223,0.6491304347826088,0.5697826086956522,0.5697826086956522,1.0
mq_niah_4q_split_14_to_23,48,100,0.5697826086956522,0.57130441,0.741304347826087,0.5697826086956522,0.5697826086956522,1.0
mq_niah_4q_split_14_to_23,64,100,0.5697826086956522,0.5717392,0.7617391304347827,0.5704347826086956,0.5697826086956522,1.0
mq_niah_4q_split_14_to_23,80,100,0.5697826086956522,0.57195659,0.7910869565217391,0.573695652173913,0.5697826086956522,1.0
mq_niah_4q_split_14_to_23,96,100,0.5697826086956522,0.57413052,0.825,0.575,0.5697826086956522,1.0
mq_niah_4q_split_14_to_23,128,100,0.5697826086956522,0.57543487,0.8532608695652173,0.5767391304347825,0.5697826086956522,1.0
mq_niah_4q_split_24_to_13,8,100,0.35565217391304343,0.35608686,0.35565217391304343,0.35739130434782607,0.35565217391304343,0.5295652173913044
mq_niah_4q_split_24_to_13,16,100,0.35565217391304343,0.35630425000000004,0.35565217391304343,0.35565217391304343,0.35565217391304343,0.7034782608695651
mq_niah_4q_split_24_to_13,24,100,0.35565217391304343,0.35695643,0.35956521739130437,0.35565217391304343,0.35565217391304343,0.8773913043478261
mq_niah_4q_split_24_to_13,32,100,0.35565217391304343,0.3576086,0.3778260869565217,0.3576086956521739,0.35565217391304343,0.9993478260869566
mq_niah_4q_split_24_to_13,48,100,0.35565217391304343,0.35782599,0.4504347826086956,0.35695652173913045,0.35565217391304343,1.0
mq_niah_4q_split_24_to_13,64,100,0.35565217391304343,0.35826077,0.5384782608695652,0.35565217391304343,0.35565217391304343,1.0
mq_niah_4q_split_24_to_13,80,100,0.35565217391304343,0.35913033,0.6243478260869565,0.36347826086956525,0.35565217391304343,1.0
mq_niah_4q_split_24_to_13,96,100,0.35565217391304343,0.35913033,0.6982608695652174,0.36695652173913046,0.35565217391304343,1.0
mq_niah_4q_split_24_to_13,128,100,0.35565217391304343,0.36021729,0.7860869565217392,0.36978260869565216,0.35565217391304343,1.0
mq_niah_4q_split_34_to_12,8,100,0.16326086956521738,0.16326092,0.16326086956521738,0.16456521739130434,0.16326086956521738,0.33717391304347827
mq_niah_4q_split_34_to_12,16,100,0.16326086956521738,0.1636957,0.16347826086956524,0.16326086956521738,0.16326086956521738,0.5110869565217392
mq_niah_4q_split_34_to_12,24,100,0.16326086956521738,0.16391308999999998,0.17304347826086958,0.16326086956521738,0.16326086956521738,0.685
mq_niah_4q_split_34_to_12,32,100,0.16326086956521738,0.16434787,0.19869565217391305,0.16326086956521738,0.16326086956521738,0.8589130434782608
mq_niah_4q_split_34_to_12,48,100,0.16326086956521738,0.16478265,0.28652173913043477,0.16326086956521738,0.16326086956521738,1.0
mq_niah_4q_split_34_to_12,64,100,0.16326086956521738,0.16500004000000001,0.39304347826086955,0.16434782608695653,0.16326086956521738,1.0
mq_niah_4q_split_34_to_12,80,100,0.16326086956521738,0.16543482,0.49695652173913046,0.17152173913043478,0.16326086956521738,1.0
mq_niah_4q_split_34_to_12,96,100,0.16326086956521738,0.16608699000000002,0.6130434782608696,0.1676086956521739,0.16326086956521738,1.0
mq_niah_4q_split_34_to_12,128,100,0.16326086956521738,0.16739132999999998,0.7439130434782608,0.185,0.16326086956521738,1.0
