artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,gold_k,idlekv_lift,gold_headroom,gold_normalized_recovery,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k24-32-48-64_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,24,1.0,0.354167,0.354167,0.802083,0.354167,0.350694,0.690972,0.447916,-0.11111099999999996,1.329897121479788,A B B_match Random-K Oldest-K IdleKV Oracle-K,9371.7302375,9592.46186,9716.565154799997,90.36349999999999,9259.780999999999,13.439,0.8702885,7.186054
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k24-32-48-64_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,32,1.0,0.354167,0.357639,0.895833,0.350694,0.357639,0.833334,0.5381940000000001,-0.06249899999999997,1.1313846056822123,A B B_match Random-K Oldest-K IdleKV Oracle-K,9370.0416075,9590.783614,9714.2532089,90.36349999999999,9259.780999999999,11.3965,0.982994,7.195997
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k24-32-48-64_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,48,1.0,0.354167,0.357639,0.982639,0.354167,0.350694,1.0,0.625,0.01736099999999996,0.9729731412710299,A B B_match Random-K Oldest-K IdleKV Oracle-K,9369.947865,9590.162455000002,9713.88293315,90.36349999999999,9259.780999999999,11.1175,0.9946010000000001,7.2007285
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b16384_r128_qexact_q_ogold_spans_mllama318binstruct_n24_k24-32-48-64_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,64,1.0,0.354167,0.357639,1.0,0.350694,0.350694,1.0,0.642361,0.0,1.0,A B B_match Random-K Oldest-K IdleKV Oracle-K,9369.903813,9590.616155999998,9714.025564799998,90.36349999999999,9259.780999999999,10.9955,1.2165,7.215532
