artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,gold_k,idlekv_lift,gold_headroom,gold_normalized_recovery,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,8,1.0,0.243333,0.24,0.24,0.245,0.238333,0.441667,0.0,0.20166699999999999,0.0,A B B_match IdleKV Random-K Oldest-K Oracle-K,6379.338021,6495.9699512,6960.998299609998,73.60600000000001,6286.485500000001,13.835,0.4743585,4.1732165000000006
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,16,1.0,0.243333,0.246667,0.246667,0.241667,0.213333,0.58,0.0,0.333333,0.0,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.1118435,6489.1099933000005,6957.819826259998,73.60600000000001,6286.485500000001,10.754000000000001,0.5201235,4.051009
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,24,1.0,0.243333,0.246667,0.298333,0.24,0.23,0.856667,0.05166600000000002,0.5583339999999999,0.08469836065573774,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.3946305,6492.560921949999,6957.681825729998,73.60600000000001,6286.485500000001,10.479,0.570308,4.041822
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,32,1.0,0.243333,0.251667,0.365,0.246667,0.223333,0.876667,0.11333300000000002,0.511667,0.18133280000000002,A B B_match IdleKV Random-K Oldest-K Oracle-K,6375.9830215,6492.912112949999,6957.8489121899975,73.60600000000001,6286.485500000001,10.388000000000002,0.630973,4.048045999999999
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,48,1.0,0.243333,0.243333,0.535,0.24,0.225,1.0,0.291667,0.46499999999999997,0.38546282578730146,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.0093799999995,6489.042668249999,6957.903687849998,73.60600000000001,6286.485500000001,10.3765,0.8224864999999999,4.059005
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,64,1.0,0.243333,0.248333,0.66,0.241667,0.221667,1.0,0.411667,0.33999999999999997,0.5476720409436626,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.7544325,6494.119335449999,6958.029447549998,73.60600000000001,6286.485500000001,10.361,0.9487915,4.076423500000001
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,80,1.0,0.243333,0.24,0.795,0.248333,0.216667,1.0,0.555,0.20499999999999996,0.730263157894737,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.3273245,6493.0763464,6957.971442169997,73.60600000000001,6286.485500000001,10.3615,0.8698875,4.072725500000001
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,96,1.0,0.243333,0.245,0.91,0.255,0.228333,1.0,0.665,0.08999999999999997,0.880794701986755,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.251566499999,6489.14326115,6958.168068369999,73.60600000000001,6286.485500000001,10.365499999999999,0.9968170000000001,4.09661
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,clean_suite,full,exact_q,gold_spans,,,16384,128,100,0,128,1.0,0.243333,0.243333,0.998333,0.253333,0.223333,1.0,0.755,0.001666999999999974,0.9977969172700806,A B B_match IdleKV Random-K Oldest-K Oracle-K,6376.449278,6489.3322141,6958.276127379999,73.60600000000001,6286.485500000001,10.394,1.137832,4.128954
