active_tokens,idle_window_s,budget_ms,max_measured_k
8192,0.1,90.0,5000
8192,0.5,450.0,5000
8192,1.0,900.0,5000
8192,2.0,1800.0,5000
8192,5.0,4500.0,5000
32768,0.1,90.0,5000
32768,0.5,450.0,5000
32768,1.0,900.0,5000
32768,2.0,1800.0,5000
32768,5.0,4500.0,5000
100000,0.1,90.0,5000
100000,0.5,450.0,5000
100000,1.0,900.0,5000
100000,2.0,1800.0,5000
100000,5.0,4500.0,5000
