k,n,condition_b_overlap,b_match_overlap,idlekv_overlap,random_k_overlap,oldest_k_overlap,oracle_k_overlap
8,300,0.36289855072463767,0.36304348,0.36333333333333334,0.3644927536231884,0.36289855072463767,0.5368115942028986
16,300,0.36289855072463767,0.36333333333333334,0.3645652173913043,0.36289855072463767,0.36289855072463767,0.7104347826086956
24,300,0.36289855072463767,0.36369565666666664,0.38289855072463763,0.36289855072463767,0.36289855072463767,0.8539855072463769
32,300,0.36289855072463767,0.3642029,0.40855072463768116,0.3635507246376811,0.36289855072463767,0.9527536231884058
48,300,0.36289855072463767,0.36463768333333335,0.4927536231884058,0.36333333333333334,0.36289855072463767,1.0
64,300,0.36289855072463767,0.3650000033333333,0.5644202898550725,0.3634782608695652,0.36289855072463767,1.0
80,300,0.36289855072463767,0.3655072466666667,0.637463768115942,0.3695652173913043,0.36289855072463767,1.0
96,300,0.36289855072463767,0.36644928,0.7121014492753623,0.36985507246376814,0.36289855072463767,1.0
128,300,0.36289855072463767,0.36768116333333334,0.7944202898550725,0.3771739130434783,0.36289855072463767,1.0
