artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,gold_k,idlekv_lift,gold_headroom,gold_normalized_recovery,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,8,0.99,0.413333,0.410833,0.431667,0.4125,0.425833,0.500833,0.02083400000000002,0.06916599999999995,0.2314888888888892,A B B_match IdleKV Random-K Oldest-K Oracle-K,6995.431597000001,7284.5105576999995,8447.26791098,79.74449999999999,6897.65,12.491,0.450733,4.2619465000000005
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,16,0.99,0.413333,0.415,0.461667,0.4125,0.410833,0.589167,0.046667000000000014,0.1275,0.2679439847962014,A B B_match IdleKV Random-K Oldest-K Oracle-K,6993.015639499999,7283.193747249999,8445.08737275,79.74449999999999,6897.65,10.5515,0.5113175,4.2490425
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,24,0.99,0.413333,0.410833,0.515,0.4125,0.415,0.825834,0.10416700000000001,0.31083399999999994,0.25100421444767607,A B B_match IdleKV Random-K Oldest-K Oracle-K,6992.6867975000005,7300.29264765,8450.226911810001,79.74449999999999,6897.65,10.2345,0.5612075000000001,4.2361195
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,32,0.99,0.413333,0.411667,0.564167,0.414167,0.406667,0.836667,0.15249999999999997,0.2725000000000001,0.3588235294117646,A B B_match IdleKV Random-K Oldest-K Oracle-K,6992.6824875,7299.078344500001,8444.972533879998,79.74449999999999,6897.65,10.1125,0.6306315,4.239286
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,48,0.99,0.413333,0.415,0.6525,0.4175,0.4075,0.994167,0.2375,0.34166700000000005,0.41007170643355023,A B B_match IdleKV Random-K Oldest-K Oracle-K,6993.189077500001,7282.702176399998,8447.59917291,79.74449999999999,6897.65,10.052,0.8123119999999999,4.2446265
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,64,0.99,0.413333,0.4175,0.773333,0.409167,0.405,0.994167,0.35583300000000007,0.22083399999999997,0.6170510884097755,A B B_match IdleKV Random-K Oldest-K Oracle-K,6993.4405289999995,7282.870797649999,8450.72097399,79.74449999999999,6897.65,9.994,0.917838,4.2579165
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,80,0.99,0.413333,0.416667,0.901667,0.413333,0.4075,0.994167,0.485,0.09250000000000003,0.8398268398268398,A B B_match IdleKV Random-K Oldest-K Oracle-K,6993.9510555,7282.790718899999,8445.2973968,79.74449999999999,6897.65,9.957,0.9131825,4.262767500000001
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,96,0.99,0.413333,0.421667,0.989167,0.425833,0.406667,0.994167,0.5675,0.0050000000000000044,0.9912663755458515,A B B_match IdleKV Random-K Oldest-K Oracle-K,6992.954582,7282.936622049999,8446.022170690001,79.74449999999999,6897.65,9.9345,0.964672,4.277178
phases/phase6_repair/results/full/mq_niah_6q_clean_suite_b18432_r128_qexact_q_ogold_spans_n100_k8-16-24-32-48-64-80-96-128_ca-b-bmatch-idlekv-randomk-oldestk-oraclek.json,mq_niah_6q_clean_suite,full,exact_q,gold_spans,,,18432,128,100,0,128,0.99,0.413333,0.415,0.99,0.42,0.403333,0.994167,0.575,0.004167000000000032,0.9928051839970163,A B B_match IdleKV Random-K Oldest-K Oracle-K,6993.596283999999,7300.620570099999,8447.478910670001,79.74449999999999,6897.65,9.9195,1.175541,4.3008500000000005
