artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,idlekv_lift,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_ogold_spans_n100_k48-96_ca-b-bmatch-idlekv.json,clean_suite,full,proxy,gold_spans,phantom_key,100000,16384,128,100,0,48,1.0,0.243333,0.243333,0.921667,0.678334,A B B_match IdleKV,829.6673485,999.5098376,1074.5793157400003,168.48649999999998,630.222,13.1915,0.818193,3.946098
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/clean_suite_b16384_r128_ogold_spans_n100_k48-96_ca-b-bmatch-idlekv.json,clean_suite,full,proxy,gold_spans,phantom_key,100000,16384,128,100,0,96,1.0,0.243333,0.245,0.97,0.725,A B B_match IdleKV,828.3459665,997.534288,1072.8019002999997,168.48649999999998,630.222,11.0945,0.935468,3.9620195000000002
