k,idlekv_gain,goldk_gain
8,0.0,0.201667
16,0.0,0.333333
24,0.051667,0.61
32,0.113333,0.625
48,0.291667,0.756667
64,0.411667,0.751667
80,0.555,0.76
96,0.665,0.755
128,0.755,0.756667
