artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,gold_k,idlekv_lift,gold_headroom,gold_normalized_recovery,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_2q_clean_suite_b8192_r128_qexact_q_ogold_spans_n24_k48-96_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_2q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,8192,128,24,0,48,1.0,0.0,0.0,0.625,0.0,0.0,1.0,0.625,0.375,0.625,A B B_match Random-K Oldest-K IdleKV Oracle-K,5861.416083,6274.131493249999,6796.391117009999,54.304,5784.5715,18.441000000000003,0.800262,2.6714545000000003
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_2q_clean_suite_b8192_r128_qexact_q_ogold_spans_n24_k48-96_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_2q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,8192,128,24,0,96,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A B B_match Random-K Oldest-K IdleKV Oracle-K,5861.9059755,6260.309280899999,6789.358152559999,54.304,5784.5715,15.556,0.9144755,2.6882995000000003
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_8q_clean_suite_b18432_r128_qexact_q_ogold_spans_n24_k48-96_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_8q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,18432,128,24,0,48,0.979167,0.535417,0.539583,0.670833,0.533333,0.539583,0.95625,0.13124999999999998,0.28541700000000003,0.31499974800020153,A B B_match Random-K Oldest-K IdleKV Oracle-K,7534.7221389999995,7975.38480205,8349.69941147,81.452,7436.291499999999,11.6115,0.755062,4.1756385
/home/ubuntu/IdleKV/phases/phase6_repair/results/full/mq_niah_8q_clean_suite_b18432_r128_qexact_q_ogold_spans_n24_k48-96_ca-b-bmatch-randomk-oldestk-idlekv-oraclek.json,mq_niah_8q_clean_suite,full,exact_q,gold_spans,phantom_key,100000,18432,128,24,0,96,0.979167,0.535417,0.545833,0.960417,0.54375,0.535417,0.9875,0.41458399999999995,0.02708300000000008,0.9386800462792102,A B B_match Random-K Oldest-K IdleKV Oracle-K,7532.804979499999,7974.6609385,8347.693011309999,81.452,7436.291499999999,10.0275,0.905214,4.209048
