task,k,n,condition_b_overlap,b_match_overlap,idlekv_overlap,wrong_q_k_overlap,stale_q_k_overlap,contrastive_q_k_overlap,random_k_overlap,oldest_k_overlap,oracle_k_overlap
mq_niah_8q_split_1678_to_2345,8,24,0.7015398333333334,0.7024456666666666,0.7015398333333334,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7015398333333334,0.7015398333333334,0.7078804166666667
mq_niah_8q_split_1678_to_2345,16,24,0.7015398333333334,0.7024456666666666,0.7269021666666666,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.70199275,0.7015398333333334,0.8152173333333333
mq_niah_8q_split_1678_to_2345,24,24,0.7015398333333334,0.7028985833333333,0.7708333333333334,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7038043333333334,0.7015398333333334,0.8523550416666666
mq_niah_8q_split_1678_to_2345,32,24,0.7015398333333334,0.7033515,0.7916667083333334,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7015398333333334,0.7015398333333334,0.8949275416666667
mq_niah_8q_split_1678_to_2345,48,24,0.7015398333333334,0.7042572916666666,0.8269928750000001,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7015398333333334,0.7015398333333334,0.8949275416666667
mq_niah_8q_split_1678_to_2345,64,24,0.7015398333333334,0.7047102083333333,0.852355125,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7015398333333334,0.7015398333333334,0.8949275416666667
mq_niah_8q_split_1678_to_2345,80,24,0.7015398333333334,0.7047102083333333,0.8736413333333334,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7060688333333333,0.7015398333333334,0.8949275416666667
mq_niah_8q_split_1678_to_2345,96,24,0.7015398333333334,0.7047102083333333,0.8908513333333333,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7110507500000001,0.7015398333333334,0.8949275416666667
mq_niah_8q_split_1678_to_2345,128,24,0.7015398333333334,0.706068875,0.901268,0.7015398550724637,0.7015398550724637,0.7015398550724637,0.7015398333333334,0.7015398333333334,0.8949275416666667
mq_niah_8q_split_2678_to_1345,8,24,0.5294384166666667,0.5294384166666667,0.5294384166666667,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5303442083333333,0.5294384166666667,0.5298913333333334
mq_niah_8q_split_2678_to_1345,16,24,0.5294384166666667,0.5298913333333334,0.5330615416666666,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5294384166666667,0.5294384166666667,0.6118659583333333
mq_niah_8q_split_2678_to_1345,24,24,0.5294384166666667,0.5303442500000001,0.5511775833333333,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5294384166666667,0.5294384166666667,0.7056159166666668
mq_niah_8q_split_2678_to_1345,32,24,0.5294384166666667,0.5307971666666667,0.559782625,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5294384166666667,0.5294384166666667,0.7056159166666668
mq_niah_8q_split_2678_to_1345,48,24,0.5294384166666667,0.5312500416666667,0.606884125,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5294384166666667,0.5294384166666667,0.927989125
mq_niah_8q_split_2678_to_1345,64,24,0.5294384166666667,0.5312500416666667,0.6870470416666666,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.53125,0.5294384166666667,0.927989125
mq_niah_8q_split_2678_to_1345,80,24,0.5294384166666667,0.5317029166666667,0.7703802916666667,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5294384166666667,0.5294384166666667,0.927989125
mq_niah_8q_split_2678_to_1345,96,24,0.5294384166666667,0.5326087083333333,0.8143115833333333,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5389492916666666,0.5294384166666667,0.927989125
