k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
8,0.9900000099999999,0.4133333375,0.410833335,0.43166666,0.412500005,0.42583333250000005,0.5008333300000001,0.020833,0.09,0.07,0.02,18.310578,0.9841666824999998,0.9950000050000001,0.38833332468749987,0.43750001262499977,0.38581246506250005,0.43500001762499985,0.4066666548125004,0.45416668749999994,0.38749998725,0.43666668256250024,0.40247912,0.45002086081249953,0.4849999673750001,0.5183542028749999
16,0.9900000099999999,0.4133333375,0.4150000025,0.46166669,0.412500005,0.41083333250000004,0.5891667825,0.046667,0.174167,0.145,0.0225,15.385985,0.9841666825000001,0.9950000050000001,0.38833333225000044,0.43833333762500054,0.3908333098124996,0.4383333574999992,0.4366666723125002,0.4866666976249997,0.38749999706250016,0.4366666825625001,0.3858333173125,0.4341666751875002,0.5708334348749986,0.6083334801874977
24,0.9900000099999999,0.4133333375,0.41083333250000004,0.5150000425000001,0.412500005,0.414999995,0.8258335075,0.104167,0.415,0.2825,0.0225,16.03929,0.9841666825000002,0.9950000050000001,0.38916664981250065,0.4375208633125,0.38664581137499987,0.4350208671875,0.4875000371874997,0.5416667276249995,0.38833332737500015,0.4383333503750001,0.3899999699374999,0.43833334549999975,0.8083335250000002,0.8416668250000001
32,0.9900000099999999,0.4133333375,0.41166667250000005,0.5641667075,0.414166665,0.40666666749999997,0.8366668300000001,0.1525,0.425,0.395,0.0225,15.712594,0.9841666825000003,0.9950000050000001,0.3891458201875001,0.4383333554999998,0.3849999698750001,0.4358333501250003,0.5349791815624996,0.5916666931874999,0.39083333475000026,0.43750002025000034,0.3833333124374999,0.4316667001249997,0.8208126791875,0.8525001475000005
48,0.9900000099999999,0.4133333375,0.4150000025,0.6525000725,0.417500005,0.4074999925,0.9941666725,0.2375,0.579167,0.5675,0.0125,15.610139,0.9841666825000002,0.9950208383125003,0.38914581968749984,0.43833335506250026,0.39166664743749996,0.43833335006250007,0.6225000673124991,0.6808542477499993,0.39333333712499985,0.44252087749999963,0.3824999722500002,0.43166668768749983,0.9900000099999999,0.9975000025000001
64,0.9900000099999999,0.4133333375,0.4175000075,0.77333343,0.40916666749999997,0.4049999925,0.9941666725,0.355833,0.576667,0.81,0.0,15.83462,0.9841666825000002,0.995000005,0.38916663737500035,0.44000000806249995,0.3916666773125001,0.4424999955000001,0.7508334248749994,0.7966667603124997,0.3858333424375002,0.43416670268749985,0.37999997493750015,0.42918753274999993,0.9891666775000003,0.9975208358125002
80,0.9900000099999999,0.4133333375,0.41666666999999996,0.9016667549999999,0.4133333375,0.4074999925,0.9941666725,0.485,0.5775,0.98,0.0,16.464695,0.9841666825000003,0.9950208383125003,0.38916665,0.4366666850624997,0.39249999737499985,0.4408333626875,0.8874792546875008,0.9166667375625002,0.38833331500000023,0.43752086524999984,0.38333329500000013,0.43166667506249956,0.9891666775000002,0.9975208358125002
96,0.9900000099999999,0.4133333375,0.42166666999999997,0.9891666775,0.4258333425,0.4066666625,0.9941666725,0.5675,0.5725,0.985,0.0,15.229925,0.9841666825000002,0.9950000050000001,0.3908333246875002,0.4375000278124995,0.39833331468749966,0.44502087725,0.98333335,0.995000005,0.39916666987499994,0.45000004012499956,0.3824999823749998,0.4325208649999998,0.9900000100000002,0.998333335
128,0.9900000099999999,0.4133333375,0.415,0.9900000099999999,0.4200000075,0.40333333000000005,0.9941666725,0.575,0.579167,0.9775,0.0,17.277042,0.9841666825000002,0.9950000050000001,0.38749999724999984,0.43750000043749965,0.3908333147499999,0.4400000225624999,0.9841666825000001,0.995000005,0.39333333750000016,0.4450000252499998,0.37831247743750007,0.42750002499999984,0.9900000099999999,0.9975208358125002
